,path,file_name,file_size_Mb,last_access,last_modified,created_on
20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day3_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day3_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day4_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day4_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day5_analysis.xlsx,"E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\20190508-Cell proliferation by nuclei count_N3_MCF10a_HER2_shC or shY_Day2-5 raw files, analysis and presentations",20190508_MCF10a_HER2_shC or shY_DAPI_EGFP_N3_P14_Day5_analysis.xlsx,data_not_available,data_not_available,data_not_available,data_not_available
20190501_DAPI_EGFPHER2_shControl_AM_N2_Day2.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_AM_N2_Day2.png,10047.173,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_AM_N2_Day3.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_AM_N2_Day3.png,10716.038,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_AM_N2_Day4.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_AM_N2_Day4.png,12085.619,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_AM_N2_Day5.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_AM_N2_Day5.png,12119.333,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_GM_N2_Day2.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_GM_N2_Day2.png,9733.003,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_GM_N2_Day3.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_GM_N2_Day3.png,10762.313,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_GM_N2_Day4.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_GM_N2_Day4.png,11959.875,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shControl_GM_N2_Day5.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shControl_GM_N2_Day5.png,12075.876,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day2.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day2.png,9609.94,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day3.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day3.png,10012.177,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day4.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day4.png,11562.463,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day5.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_AM_N2_Day5.png,11560.106,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day2.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day2.png,9251.875,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day3.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day3.png,11381.439,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day4.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day4.png,12140.821,28 May 2019,21 Sep 2020,21 Sep 2020
20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day5.png,E:\mk_lab_data\SHRUTI\Cell enumeration-DAPI-Rutvi-Shruti\Cell Proliferation by nuclei count for MCF10a HER2 shC or shY\DAPI_EGFP representative images,20190501_DAPI_EGFPHER2_shYAP_GM_N2_Day5.png,12362.61,28 May 2019,21 Sep 2020,21 Sep 2020
Ki67-N1-20190707,E:\mk_lab_data\SHRUTI\Cell proliferation-Ki67,Ki67-N1-20190707,4.096,21 Sep 2020,26 Sep 2020,21 Sep 2020
